ad_id,ad_group_name,impressions,clicks,conversions,cost,Keywords
593838806564,Windows aufräumen - PH,8725.0,1323.0,27.777821,2175328478.0,"windows 10 zu langsam,pc bereinigen windows 10,rechner zu langsam,reparatur software,computer zu langsam, pc läuft langsam,computer ist sehr langsam,pc startet zu langsam windows 10,Windows aufräumen - PH,laptop zu langsam,laptop sehr langsam was tun,pc ist langsam,pc startet nicht,warum ist mein pc so langsam,festplatte defragmentieren"
497791521596,Cleaner Broad-BR,5912.0,655.0,21.286088,2446767454.0,"ccleaner download,Cleaner Broad-BR,completely free pc cleaner, ccleaner,file cleaner"
271597733976,Cleaner Broad-BR,16537.0,2127.0,18.843557,747469503.0,"Cleaner Broad-BR, pc cleaner,duplicate file remover free,regcleaner windows 10,desktop running slow,computer running slow windows 10,free disc cleaner,free duplicate file remover windows 10"
431773527511,Fix Computer,7436.0,795.0,18.246032,1952841824.0,"computer lag fix,fix windows errors,my laptop is slow how do i fix it,Fix Computer, how to fix a slow running laptop,fix windows 10 errors,fix my slow pc,how to fix a slow computer windows 10,how to fix pc lag,fix your computer"
420999617265,Computer clean up-PH,2491.0,166.0,17.0,544476475.0,"why is my computer so laggy,Computer clean up-PH, how to make my computer faster,speed up my computer,computer disk cleaner,clean up my computer to run faster,why is my pc lagging,best free pc cleaner,boost my computer speed,why is my pc internet so slow,internet running slow on pc"
499117597085,Computer clean up-PH,5535.0,438.0,16.5,1311031296.0,"pc performance booster,why is my computer so slow, clean up my computer,Computer clean up-PH,computer cleaner,computer registry cleaner,clean up my computer for free,what makes your computer run slow,slow computer help,best free pc speed up software,free cleanup software,utilities to speed up computer,computer system cleaner"
394843280856,Computer clean up-PH,4840.0,529.0,14.114524,1250761733.0,"pc performance booster,why is my computer so slow,clean up my computer,Computer clean up-PH,what makes your computer run slow,slow computer help,best free pc speed up software, why is my laptop so slow"
497791521530,Disk Clean Up-PH,2609.0,208.0,13.285571000000001,612778020.0,"how to free disc space,how to free up space on windows 10,how to get more disk space,clean up space,how to free up computer space,how to clear up space,Disk Clean Up-PH,how to clean up space on pc,free up computer space, disk cleanup,how to get more disk space on pc"
497791521731,Clean Computer-EX,4891.0,346.0,13.0,1168608624.0," clean computer,computer clean,Clean Computer-EX,computer cleaners"
448088392531,Computer clean up-PH,1900.0,153.0,11.0,412958278.0,"pc performance booster,why is my computer so slow, clean up my computer,Computer clean up-PH,cc computer cleaner,clean up computer"
