campaign_name,campaign_status,campaign_id,ad_group_id,ad_group_name,metrics_clicks,metrics_conversions,metrics_conversions_by_conversion_date,ad_group_ad_status,ad_group_ad_ad_id,final_urls,keyword
PC Cleaner_FR_SEARCH,2,135863623,7211240143,PC Cleaner - EX - PRIME,151619,1918.813754,1219.813754,3,231512334147,['https://www.pchelpsoft.com/static/lp/pc-cleaner/fr/?tracking=PH_FR_PP_GO_SE_PCC&keyword={keyword}&campaignID=ADWORDS'],pccleaner
PC Cleaner_FR_SEARCH,2,135863623,7211233543,Ccleaner - EX - PRIME,175789,1373.019233,1286.019233,3,231273216141,['http://www.pchelpsoft.com/pc-cleaner/lpfr-ms/?tracking=PH_FR_PP_GO_SE_PCC&keyword={keyword}&campaignID=ADWORDS'],ccleaner
PC Cleaner_FR_SEARCH,2,135863623,7211220943,Nettoyer Ordi - PH,97935,1302.670533,644.670533,3,231512334201,['https://www.pchelpsoft.com/static/lp/pc-cleaner/fr/?tracking=PH_FR_PP_GO_SE_PCC&keyword={keyword}&campaignID=ADWORDS'],nettoyer mon ordi
PC Cleaner_ENG_US_SEARCH,2,1489522747,56977148109,Computer clean up-PH,25013,954.727433,954.727433,2,420999617265,['https://www.pchelpsoft.com/static/lp/pc-cleaner/en/?tracking=PH_EN_PP_GO_SE_PCC_US&keyword={keyword}&campaignID=ADWORDS'],clean up my computer for free
PC Cleaner_FR_SEARCH,2,135863623,7211220943,Nettoyer Ordi - PH,38387,918.0,0.0,3,179157077244,['https://www.pchelpsoft.com/static/lp/pc-cleaner/fr/?tracking=PH_FR_PP_GO_SE_PCC&keyword={keyword}&campaignID=ADWORDS'],nettoyer mon ordi
PC Cleaner_FR_SEARCH,2,135863623,7211240143,PC Cleaner - EX - PRIME,47214,880.0,0.0,4,52328354023,['http://www.pchelpsoft.com/pc-cleaner/lpfr-ms/?tracking=PH_FR_PP_GO_SE_PCC&keyword={keyword}&campaignID=ADWORDS'],pccleaner
PC Cleaner_FR_SEARCH,2,135863623,7211219023,Nettoyage Disque Dur - PH,50081,816.198677,816.198677,3,231512333994,['https://www.pchelpsoft.com/static/lp/pc-cleaner/fr/?tracking=PH_FR_PP_GO_SE_PCC&keyword={keyword}&campaignID=ADWORDS'],nettoyeur de disque dur gratuit
PC Cleaner_ES_SOAM_SE,4,181348183,11230963303,Cleaner - Broad - PRIME,248960,815.771667,512.771667,4,230905452441,['https://www.pchelpsoft.com/pc-cleaner/es/?tracking=PH_ES_PP_GO_SE_PCC_SOAM&keyword={keyword}&campaignID=ADWORDS'],pc cleaner
PC Cleaner_FR_SEARCH,2,135863623,7211242783,Ccleaner Télécharger - BR,81067,770.003807,770.003807,3,250583867970,['http://www.pchelpsoft.com/pc-cleaner/lpfr-ms/?tracking=PH_FR_PP_GO_SE_PCC&keyword={keyword}&campaignID=ADWORDS'],logiciel clean
PC Cleaner_DE_SEARCH,2,137045143,10519187143,PC Schneller Machen - PH,37946,735.211905,720.211905,3,246378306410,['https://www.pchelpsoft.com/static/lp/pc-cleaner/de/?tracking=PH_DE_PP_GO_SE_PCC&keyword={keyword}&campaignID=ADWORDS'],pc schneller machen
